Year,Name,Chief developer Company,Predecessor(s)
2000,Join Java,G Stewart von Itzstein,Java
2000,ActionScript,Gary Grossman,ECMAScript
2000,Joy,Manfred von Thun,FP Forth
2000,D,Walter Bright Digital Mars,C C++ C# Java
2000,XL,Christophe de Dinechin,Ada C++ Lisp
2000,C#,Anders Hejlsberg Microsoft (ECMA),C C++ Java Delphi Modula-2
2000,Ferite,Chris Ross,C C++ Java PHP Python Ruby Scheme
2000,ASP,Microsoft
2000,BlitzBasic,Idigicon
2001,AspectJ,Gregor Kiczales Xerox PARC,Java Common Lisp
2001,Processing,Casey Reas and Benjamin Fry,*
2001,Visual Basic .NET,Microsoft,Visual Basic
2001,RPG IV (RPGLE ILE RPG RPG Free),IBM,FARGO RPG RPG II RPG III RPG/400
2001,GDScript (GDS),OKAM Studio,Godot
2002,Io,Steve Dekorte,Self NewtonScript
2002,Gosu,Guidewire Software,GScript
2003,Nemerle,University of Wrocław,C# ML MetaHaskell
2003,Factor,Slava Pestov,Joy Forth Lisp
2003,Falcon,Giancarlo Niccolai,C++ Perl Lua Smalltalk PHP Lisp Python Ruby
2003,Scala,Martin Odersky,Smalltalk Java Haskell Standard ML OCaml
2003,Squirrel,Alberto Demichelis,Lua
2004,Subtext,Jonathan Edwards,*
2004,Alma-0,Krzysztof Apt Centrum Wiskunde & Informatica,*
2004,Boo,Rodrigo B. de Oliveira,Python C#
2004,FreeBASIC,Andre Victor,QBasic
2004,Groovy,James Strachan,Java
2004,Little b,Aneil Mallavarapu Harvard Medical School Department of Systems Biology,Lisp
2005,F#,Don Syme Microsoft Research,OCaml C# Haskell
2005,Seed7,Thomas Mertes,*
2005,Arduino,Arduino
2005,Puppet
2006,Links,Philip Wadler University of Edinburgh,Haskell
2006,Cobra,ChuckEsterbrook,Python C# Eiffel Objective-C
2006,PowerShell,Microsoft,C# ksh Perl CL DCL SQL
2006,OptimJ,Ateji,Java
2007,Ada 2005,Ada Rapporteur Group,Ada 95
2007,Fantom,Brian Frank Andy Frank,C# Scala Ruby Erlang
2007,Vala,GNOME,C#
2007,Clojure,Rich Hickey,Lisp ML Haskell Erlang
2007,Fortress,Guy Steele,Scala ML Haskell
2007,Oberon-07,Wirth[6],Oberon
2007,LOLCODE,Adam Lindsay,*
2008,Genie,Jamie McCracken,Python Boo D Object Pascal
2008,Pure,Albert Gräf,Q
2009,Go,Google,C Oberon Limbo
2009,CoffeeScript,Jeremy Ashkenas,JavaScript Ruby Python Haskell
2010,Chapel,Brad Chamberlain Cray Inc.,HPF ZPL
2010,RPG Open Access,IBM,FARGO RPG RPG II RPG III RPG 400 RPG IV (RPGLE ILE RPG RPG Free)
2010,Rust,Graydon Hoare Mozilla,Alef C++ Camlp4 Common Lisp Erlang Hermes Limbo Napier Napier88 Newsqueak NIL Sather Standard ML
2011,Ceylon,Gavin King Red Hat,Java
2011,Dart,Google,Java JavaScript CoffeeScript Go
2011,Elm,Evan Czaplicki,Haskell Standard ML OCaml F#
2012,Elixir,José Valim,Erlang Ruby Clojure
2012,TypeScript,Anders Hejlsberg Microsoft,JavaScript CoffeeScript
2012,Julia,Jeff Bezanson Stefan Karpinski Viral Shah Alan Edelman,MATLAB
2014,Hack,Facebook,PHP
2014,Swift,Apple Inc.,C Objective-C
2014,Perl6,Larry Wall,Haskell JavaScript Perl 5 Ruby Smalltalk
